x,y,class
0.658,1.57,1.0
0.676,1.185,3.0
-0.084,0.343,0.0
1.019,0.956,1.0
0.853,0.901,3.0
0.407,1.148,3.0
-0.001,0.756,3.0
0.903,1.249,1.0
0.751,1.207,3.0
0.542,0.487,3.0
0.478,1.408,1.0
0.694,0.17,0.0
0.3,0.11,0.0
0.141,0.305,0.0
0.459,1.398,1.0
0.307,0.292,0.0
0.784,1.383,1.0
0.417,0.469,3.0
0.521,0.455,3.0
0.93,1.199,1.0
0.778,1.545,1.0
0.833,1.085,3.0
0.774,1.543,1.0
0.138,0.444,0.0
0.093,0.527,3.0
0.79,1.597,1.0
0.006,0.094,0.0
0.004,0.373,0.0
0.971,1.468,1.0
0.92,1.148,1.0
-0.263,0.228,0.0
0.03,0.569,3.0
0.315,0.124,0.0
0.495,0.459,3.0
0.84,0.751,3.0
0.255,0.59,3.0
0.295,0.285,0.0
-0.009,0.284,0.0
0.141,0.259,0.0
0.314,0.69,3.0
-0.243,0.436,0.0
0.653,1.149,3.0
0.163,0.487,3.0
0.539,1.203,3.0
0.239,-0.131,0.0
0.984,1.101,1.0
0.782,1.155,3.0
-0.642,0.219,0.0
0.032,0.498,0.0
0.116,0.673,3.0
-0.24,0.197,0.0
-0.407,0.491,0.0
0.612,0.344,0.0
-0.256,-0.097,0.0
-0.062,0.24,0.0
0.152,0.497,3.0
0.306,0.562,3.0
0.468,1.337,3.0
-0.211,0.495,0.0
0.917,1.594,1.0
0.891,1.293,1.0
1.351,1.328,1.0
0.325,0.61,3.0
1.195,1.306,1.0
0.544,1.525,1.0
0.229,-0.001,0.0
0.068,0.132,0.0
0.817,1.54,1.0
0.353,0.383,0.0
0.4,1.091,3.0
0.105,0.435,0.0
0.448,0.103,0.0
0.851,1.184,1.0
0.32,0.575,3.0
-0.092,0.114,0.0
0.722,1.516,1.0
0.294,0.489,3.0
0.426,1.36,3.0
0.342,1.453,1.0
1.171,1.379,1.0
0.611,0.156,0.0
0.786,1.369,1.0
-0.023,0.381,0.0
0.961,0.592,0.0
0.612,1.612,1.0
0.942,0.958,1.0
0.31,0.698,3.0
1.127,1.109,1.0
0.002,1.075,3.0
0.299,0.716,3.0
